==========
Args:Namespace(arch='mub', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.1, gpu_devices='0,1', height=256, lr=0.0003, max_epoch=60, optim='adam', print_freq=10, resume='', root='data', save_dir='log/resnet50-xent-mub-market1501', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0,1
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: mub
Model size: 31.40421M
==> Start training
Epoch: [4][50/404]	Time 0.497 (0.514)	Data 0.355 (0.354)	Loss 32.3837 (32.1527)	
Epoch: [4][60/404]	Time 0.582 (0.515)	Data 0.407 (0.355)	Loss 32.0017 (32.2807)	
Epoch: [4][70/404]	Time 0.473 (0.520)	Data 0.319 (0.360)	Loss 34.0824 (32.2725)	
Epoch: [4][80/404]	Time 0.482 (0.513)	Data 0.335 (0.353)	Loss 33.0765 (32.2325)	
Epoch: [4][90/404]	Time 0.431 (0.506)	Data 0.277 (0.346)	Loss 29.5313 (32.1736)	
Epoch: [4][100/404]	Time 0.466 (0.500)	Data 0.314 (0.340)	Loss 32.6486 (32.1978)	
Epoch: [4][110/404]	Time 0.559 (0.499)	Data 0.404 (0.340)	Loss 31.1708 (32.2324)	
Epoch: [4][120/404]	Time 0.763 (0.504)	Data 0.582 (0.345)	Loss 32.5953 (32.1724)	
Epoch: [4][130/404]	Time 0.409 (0.507)	Data 0.258 (0.347)	Loss 34.6341 (32.1201)	
Epoch: [4][140/404]	Time 0.362 (0.504)	Data 0.199 (0.345)	Loss 31.5325 (32.0328)	
Epoch: [4][150/404]	Time 0.492 (0.500)	Data 0.344 (0.340)	Loss 29.1369 (31.9843)	
Epoch: [4][160/404]	Time 0.391 (0.494)	Data 0.233 (0.335)	Loss 32.6584 (31.9431)	
Epoch: [4][170/404]	Time 0.403 (0.489)	Data 0.244 (0.329)	Loss 32.3062 (31.8824)	
Epoch: [4][180/404]	Time 0.229 (0.486)	Data 0.060 (0.327)	Loss 30.4486 (31.8524)	
Epoch: [4][190/404]	Time 0.646 (0.487)	Data 0.480 (0.327)	Loss 28.9540 (31.7887)	
Epoch: [4][200/404]	Time 0.599 (0.492)	Data 0.440 (0.332)	Loss 32.0376 (31.7617)	
Epoch: [4][210/404]	Time 0.531 (0.491)	Data 0.363 (0.331)	Loss 32.0768 (31.7326)	
Epoch: [4][220/404]	Time 0.543 (0.494)	Data 0.387 (0.334)	Loss 27.2267 (31.6817)	
Epoch: [4][230/404]	Time 0.512 (0.498)	Data 0.361 (0.338)	Loss 30.0028 (31.6266)	
Epoch: [4][240/404]	Time 0.609 (0.503)	Data 0.457 (0.342)	Loss 29.6484 (31.5613)	
Epoch: [4][250/404]	Time 0.565 (0.504)	Data 0.373 (0.343)	Loss 32.8805 (31.5427)	
Epoch: [4][260/404]	Time 0.741 (0.506)	Data 0.594 (0.346)	Loss 29.9644 (31.5015)	
Epoch: [4][270/404]	Time 0.446 (0.507)	Data 0.296 (0.347)	Loss 28.1800 (31.4599)	
Epoch: [4][280/404]	Time 0.608 (0.509)	Data 0.448 (0.349)	Loss 29.8742 (31.4321)	
Epoch: [4][290/404]	Time 0.541 (0.510)	Data 0.387 (0.349)	Loss 27.2391 (31.3943)	
Epoch: [4][300/404]	Time 0.434 (0.512)	Data 0.267 (0.351)	Loss 30.4392 (31.3532)	
Epoch: [4][310/404]	Time 0.383 (0.514)	Data 0.181 (0.353)	Loss 29.9308 (31.2840)	
Epoch: [4][320/404]	Time 0.619 (0.516)	Data 0.443 (0.355)	Loss 30.5370 (31.2431)	
Epoch: [4][330/404]	Time 0.603 (0.518)	Data 0.443 (0.357)	Loss 32.3063 (31.2057)	
Epoch: [4][340/404]	Time 0.576 (0.520)	Data 0.423 (0.359)	Loss 28.7598 (31.1645)	
Epoch: [4][350/404]	Time 0.595 (0.522)	Data 0.426 (0.361)	Loss 30.4562 (31.1098)	
Epoch: [4][360/404]	Time 0.335 (0.523)	Data 0.183 (0.362)	Loss 29.5885 (31.0654)	
Epoch: [4][370/404]	Time 0.482 (0.524)	Data 0.331 (0.363)	Loss 28.6565 (31.0402)	
Epoch: [4][380/404]	Time 0.609 (0.524)	Data 0.437 (0.363)	Loss 28.5767 (31.0012)	
Epoch: [4][390/404]	Time 0.715 (0.524)	Data 0.557 (0.364)	Loss 28.4057 (30.9717)	
Epoch: [4][400/404]	Time 0.486 (0.526)	Data 0.309 (0.365)	Loss 27.9479 (30.9194)	
Epoch: [5][10/404]	Time 0.586 (0.595)	Data 0.426 (0.429)	Loss 25.3345 (27.7609)	
